id,type,state,created_at,updated_at,user_id,course_id,amount,tax_free_amount
71652,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:26,2022-12-27 1:26,105956,209016,-10000,-10000
71651,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:25,2022-12-27 1:25,105956,203655,-30000,-30000
71650,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:23,2022-12-27 1:23,1065566,203787,-20000,-20000
71649,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:22,2022-12-27 1:22,768944,212555,-30000,-30000
71648,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:20,2022-12-27 1:20,960207,NULL,-30000,0
71646,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:19,2022-12-27 1:19,1059830,214383,0,0
71645,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:17,2022-12-27 1:17,1065426,211087,-10000,-10000
71644,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:16,2022-12-27 1:16,991304,214496,-20000,-20000
71643,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:15,2022-12-27 1:15,899111,214496,-20000,-20000
71642,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 1:12,2022-12-27 1:12,399353,213836,-20000,-20000
71641,ADMIN_AUTO_REFUND,COMPLETED,2022-12-27 0:45,2022-12-27 0:45,1051897,203720,-20000,-20000
71640,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 9:05,2022-12-26 9:05,1057177,208856,-10000,-10000
71639,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 9:04,2022-12-26 9:04,1057435,212296,-10000,-10000
71638,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 8:59,2022-12-26 8:59,53497,209597,-30000,-30000
71608,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 7:16,2022-12-26 7:16,1064301,202612,-20000,-20000
71606,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 7:06,2022-12-26 7:06,143542,NULL,-40000,0
71595,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 6:22,2022-12-26 6:22,299802,210120,-10000,-10000
71593,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 5:44,2022-12-26 5:44,1061309,208962,-10000,-10000
71592,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 5:40,2022-12-26 5:40,39317,204631,-10000,-10000
71591,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 5:36,2022-12-26 5:36,6003,213200,0,0
71590,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 5:35,2022-12-26 5:35,17656,213200,0,0
71587,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 5:31,2022-12-26 5:31,1003156,203935,0,0
71586,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 5:31,2022-12-26 5:31,1003156,212720,-10000,-10000
71567,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 4:25,2022-12-26 4:25,646630,212717,-10000,-10000
71566,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 4:19,2022-12-26 4:19,1055444,212229,-30000,-30000
71565,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 4:08,2022-12-26 4:08,1061507,210586,-10000,-10000
71564,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 4:06,2022-12-26 4:06,1058206,209673,-10000,-10000
71563,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 4:05,2022-12-26 4:05,1061270,211368,-10000,-10000
71562,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 4:03,2022-12-26 4:03,739775,211895,-10000,-10000
71561,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 4:02,2022-12-26 4:02,152220,213749,-60000,0
71554,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 2:19,2022-12-26 2:19,1059103,211227,-20000,-20000
71552,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 2:17,2022-12-26 2:17,1058953,203527,0,0
71549,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 2:01,2022-12-26 2:01,155047,206742,-40000,-40000
71548,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 1:46,2022-12-26 1:46,24750,211727,-20000,-20000
71546,ADMIN_AUTO_REFUND,COMPLETED,2022-12-26 1:44,2022-12-26 1:44,1058232,212720,-10000,-10000
