id,type,state,created_at,updated_at,title,description,close_at,total_class_hours,keywords
213332,COURSE,PENDING,2022-09-22 7:56,2022-11-16 4:40,(B2G)K-Dig-213332,NULL,NULL,NULL,NULL
213331,COURSE,ONGOING,2022-09-22 7:47,2022-11-16 2:10,(B2G) K-Di-213331,NULL,NULL,19,NULL
213330,COURSE,ONGOING,2022-09-22 7:39,2022-11-16 2:34,(B2G) K-Di-213330,NULL,NULL,NULL,NULL
213315,COURSE,ONGOING,2022-09-20 2:35,2023-11-20 1:18,네오아카데미 : 킨-213315,완전 초보도 시작할,NULL,17,"킨티,도형화,입문자,캐주얼,일러스트,인체,드로잉,그림,캐릭터"
213294,COURSE,HIDDEN,2022-09-19 1:34,2024-01-04 9:08,한번에 끝내는 공간-213294,"건축, 인테리어, ",NULL,90,"라이노,스케치업,루미온,엔스케이프,브이레이,캐드,건축,실내건축,그래스하퍼,그래스호퍼,루비,공간,디자인,vmd,인테리어,건축디자인,공간디자인,조경,공간브랜딩,3D프로그램"
213293,COURSE,ONGOING,2022-09-16 8:50,2022-11-16 5:07,K-Digital -213293,NULL,NULL,40,NULL
213292,COURSE,ONGOING,2022-09-16 8:43,2022-11-16 4:52,K-Digital -213292,NULL,NULL,75,NULL
213276,COURSE,ONGOING,2022-09-16 4:49,2022-11-16 4:48,(B2G) K-Di-213276,NULL,NULL,61,NULL
213275,COURSE,ONGOING,2022-09-16 4:38,2022-11-16 4:21,(B2G) K-Di-213275,NULL,NULL,33,NULL
213267,COURSE,ONGOING,2022-09-15 7:34,2023-11-20 1:18,집에 있는 카메라로-213267,163K 인플루언서,NULL,11,"사진,구도,촬영,보정,수익화,프리셋,이필성,김규형,포토,포토그라피,인플루언서,포토그래퍼,카메라,디지털,필름,스마트폰,핸드폰,제품사진,제품,셀프,감성,상업,tkwls,굿즈,에세이,피사체,사진관,인스타그램,여행,비전공,셀프웨딩,화보,스냅,엽서,브랜딩,키트"
213262,COURSE,ONGOING,2022-09-15 5:12,2024-01-25 18:03,한 번에 끝내는 H-213262,"HTML, CSS,",NULL,75,"프론트엔드,frontend,타입스크립트,바닐라js,vanila.js,vanillajs,자바스크립트,반응형웹,반응형,클론코딩,스타벅스,아이패드,프로그래밍,개발언어,프론트엔드입문,웹개발입문,개발자취업,프론트엔드기초,HEROPY"
213244,COURSE,ONGOING,2022-09-13 7:14,2023-11-20 0:40,30개 사례로 배우-213244,각 산업군마다 정의,NULL,62,"Anomalydetection,이상탐지,머신러닝,이상진단"
213200,COURSE,ONGOING,2022-09-06 9:07,2023-11-20 1:28,CLASS : 유성-213200,모두가 처음부터 구,NULL,12,"GA4,GTM,GDS,유성민,허들러스,마케팅,디지털,디지털마케팅,그로스마케팅,퍼포먼스마케팅,연동,업데이트,삼성전자,원스톱,고객행동분석,성과분석,대시보드,그로스해킹,컨설턴트,c랩,내재화,UA,유니버셜,애널리틱스,컨셜팅,구글,마케팅툴,LOOKER,STUDIO,LOOKERSTUDIO"
213184,COURSE,ONGOING,2022-09-02 8:18,2023-11-20 1:18,실무 활용 극대화를-213184,포토샵부터 블렌더까,NULL,100,"디자인,디자인툴,시그니처,포토샵,포토샾,피그마,일러스트레이터,애프터이펙트,애팩,애펙,figma,블렌더,c4d,다빈치리졸브,프리미어,인디자인,라이트룸,그래픽,편집,영상,2D,3D,북디자인,UI,UX,앱디자인,색보정,에프터이펙트,시포디,모션,모션그래픽,시각디자인,그래픽디자인,김정활,변창우,UIUX,UXUI,시각화"
213179,COURSE,ONGOING,2022-09-01 7:28,2023-11-20 0:40,The Red : -213179,최신 Web 3.0,NULL,11,"NFT,AINFT,Web3.0,웹3.0,GPT3"
